Namespace(exp_name='LLRGM_seg', model='GTNet', dataset='shapenetpart', class_choice=None, batch_size=13, test_batch_size=13, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=100, eval=False, num_points=2048, dropout=0.5, emb_dims=512, k=20, model_path='', visu='all', visu_format='ply')
Using GPU : 0 from 1 devices
Test 33, loss: 0.892137, test acc: 0.930222, test avg acc: 0.789000, test iou: 0.824591
Train 34, loss: 0.886686, train acc: 0.937629, train avg acc: 0.783263, train iou: 0.831481
Test 34, loss: 0.887642, test acc: 0.931556, test avg acc: 0.797552, test iou: 0.826700
Train 35, loss: 0.886586, train acc: 0.937762, train avg acc: 0.786317, train iou: 0.831187
Test 35, loss: 0.887094, test acc: 0.932487, test avg acc: 0.779843, test iou: 0.822212
Train 36, loss: 0.886318, train acc: 0.937568, train avg acc: 0.788661, train iou: 0.830988
Test 36, loss: 0.892072, test acc: 0.927660, test avg acc: 0.762164, test iou: 0.803896
Train 37, loss: 0.885868, train acc: 0.938115, train avg acc: 0.788458, train iou: 0.832951
Test 37, loss: 0.879878, test acc: 0.933857, test avg acc: 0.789863, test iou: 0.830150
Train 38, loss: 0.884959, train acc: 0.938392, train avg acc: 0.786230, train iou: 0.833174
Test 38, loss: 0.885595, test acc: 0.931729, test avg acc: 0.792795, test iou: 0.829764
Train 39, loss: 0.884020, train acc: 0.938647, train avg acc: 0.789645, train iou: 0.832805
Test 39, loss: 0.889578, test acc: 0.931753, test avg acc: 0.760384, test iou: 0.823159
Train 40, loss: 0.882571, train acc: 0.939061, train avg acc: 0.793820, train iou: 0.833757
Test 40, loss: 0.902639, test acc: 0.926429, test avg acc: 0.795063, test iou: 0.821942
Train 41, loss: 0.882837, train acc: 0.938601, train avg acc: 0.793170, train iou: 0.832521
Test 41, loss: 0.890578, test acc: 0.931068, test avg acc: 0.804298, test iou: 0.822239
Train 42, loss: 0.882244, train acc: 0.938964, train avg acc: 0.796979, train iou: 0.833866
Test 42, loss: 0.885661, test acc: 0.932181, test avg acc: 0.829203, test iou: 0.833100
Train 43, loss: 0.882196, train acc: 0.939093, train avg acc: 0.792731, train iou: 0.834319
Test 43, loss: 0.877841, test acc: 0.934549, test avg acc: 0.819244, test iou: 0.830637
Train 44, loss: 0.881397, train acc: 0.939083, train avg acc: 0.794350, train iou: 0.834114
Test 44, loss: 0.900104, test acc: 0.924879, test avg acc: 0.818646, test iou: 0.821631
Train 45, loss: 0.884145, train acc: 0.938240, train avg acc: 0.791000, train iou: 0.833221
Test 45, loss: 0.888216, test acc: 0.931649, test avg acc: 0.814523, test iou: 0.827392
Train 46, loss: 0.882825, train acc: 0.939296, train avg acc: 0.797774, train iou: 0.834607
Test 46, loss: 0.900435, test acc: 0.928831, test avg acc: 0.754504, test iou: 0.821153
Train 47, loss: 0.882943, train acc: 0.938585, train avg acc: 0.791720, train iou: 0.833417
Test 47, loss: 0.881312, test acc: 0.935190, test avg acc: 0.818336, test iou: 0.835596
Train 48, loss: 0.881025, train acc: 0.939396, train avg acc: 0.796466, train iou: 0.834292
Test 48, loss: 0.910288, test acc: 0.924121, test avg acc: 0.796249, test iou: 0.812659
Train 49, loss: 0.879771, train acc: 0.939273, train avg acc: 0.794766, train iou: 0.835069
Test 49, loss: 0.881564, test acc: 0.932750, test avg acc: 0.789284, test iou: 0.818865
Train 50, loss: 0.880919, train acc: 0.939246, train avg acc: 0.798585, train iou: 0.835434
Test 50, loss: 0.899857, test acc: 0.926878, test avg acc: 0.779724, test iou: 0.814244
Train 51, loss: 0.880515, train acc: 0.939228, train avg acc: 0.796046, train iou: 0.834911
Test 51, loss: 0.889649, test acc: 0.929268, test avg acc: 0.819562, test iou: 0.829660
Train 52, loss: 0.880805, train acc: 0.939413, train avg acc: 0.799687, train iou: 0.835180
Test 52, loss: 0.881465, test acc: 0.935005, test avg acc: 0.767220, test iou: 0.828987
Train 53, loss: 0.878456, train acc: 0.939896, train avg acc: 0.799214, train iou: 0.836522
Test 53, loss: 0.886503, test acc: 0.932150, test avg acc: 0.808747, test iou: 0.826813
Train 54, loss: 0.879370, train acc: 0.939752, train avg acc: 0.796758, train iou: 0.835897
Test 54, loss: 0.874594, test acc: 0.936742, test avg acc: 0.833939, test iou: 0.836098
Train 55, loss: 0.880346, train acc: 0.939606, train avg acc: 0.796947, train iou: 0.835193
Test 55, loss: 0.889111, test acc: 0.931903, test avg acc: 0.798068, test iou: 0.828067
Train 56, loss: 0.876413, train acc: 0.941009, train avg acc: 0.802491, train iou: 0.838120
Test 56, loss: 0.874202, test acc: 0.935778, test avg acc: 0.818988, test iou: 0.835300
Train 57, loss: 0.879390, train acc: 0.939700, train avg acc: 0.797105, train iou: 0.836279
Test 57, loss: 0.876498, test acc: 0.934450, test avg acc: 0.805009, test iou: 0.830191
Train 58, loss: 0.878515, train acc: 0.940380, train avg acc: 0.804514, train iou: 0.837584
Test 58, loss: 0.890202, test acc: 0.933338, test avg acc: 0.785614, test iou: 0.827231
Train 59, loss: 0.877972, train acc: 0.940095, train avg acc: 0.800860, train iou: 0.837091
Test 59, loss: 0.890059, test acc: 0.932760, test avg acc: 0.793031, test iou: 0.831762
Train 60, loss: 0.876704, train acc: 0.940678, train avg acc: 0.800800, train iou: 0.837266
Test 60, loss: 0.882986, test acc: 0.933189, test avg acc: 0.826796, test iou: 0.825168
Train 61, loss: 0.875752, train acc: 0.941135, train avg acc: 0.806465, train iou: 0.838214
Test 61, loss: 0.908621, test acc: 0.923566, test avg acc: 0.823086, test iou: 0.806274
Train 62, loss: 0.877486, train acc: 0.940341, train avg acc: 0.801921, train iou: 0.836327
Test 62, loss: 0.899630, test acc: 0.927273, test avg acc: 0.787831, test iou: 0.823281
Train 63, loss: 0.876364, train acc: 0.940768, train avg acc: 0.804567, train iou: 0.838397
Test 63, loss: 0.898404, test acc: 0.925905, test avg acc: 0.824664, test iou: 0.827823
Train 64, loss: 0.875972, train acc: 0.940814, train avg acc: 0.802770, train iou: 0.838099
Test 64, loss: 0.892252, test acc: 0.930627, test avg acc: 0.829973, test iou: 0.819760
Train 65, loss: 0.875573, train acc: 0.940866, train avg acc: 0.801281, train iou: 0.837656
Test 65, loss: 0.878094, test acc: 0.934252, test avg acc: 0.823770, test iou: 0.834061
Train 66, loss: 0.874560, train acc: 0.941329, train avg acc: 0.807993, train iou: 0.839101
Test 66, loss: 0.875168, test acc: 0.936038, test avg acc: 0.790301, test iou: 0.833640
Train 67, loss: 0.875088, train acc: 0.940976, train avg acc: 0.808541, train iou: 0.837775
Test 67, loss: 0.888737, test acc: 0.930443, test avg acc: 0.797904, test iou: 0.829827
Train 68, loss: 0.876031, train acc: 0.940722, train avg acc: 0.802331, train iou: 0.838026
Test 68, loss: 0.877869, test acc: 0.934968, test avg acc: 0.834933, test iou: 0.837543
Train 69, loss: 0.875251, train acc: 0.941101, train avg acc: 0.805971, train iou: 0.838526
Test 69, loss: 0.877961, test acc: 0.935286, test avg acc: 0.817270, test iou: 0.836309
Train 70, loss: 0.873798, train acc: 0.941625, train avg acc: 0.804816, train iou: 0.839569
Test 70, loss: 0.879007, test acc: 0.933794, test avg acc: 0.822696, test iou: 0.831099
Train 71, loss: 0.873144, train acc: 0.941772, train avg acc: 0.809628, train iou: 0.838950
Test 71, loss: 0.878286, test acc: 0.935995, test avg acc: 0.832703, test iou: 0.835082
Train 72, loss: 0.874498, train acc: 0.941268, train avg acc: 0.807453, train iou: 0.838984
Test 72, loss: 0.925580, test acc: 0.921081, test avg acc: 0.739820, test iou: 0.813126
Train 73, loss: 0.874889, train acc: 0.941016, train avg acc: 0.803230, train iou: 0.838618
Test 73, loss: 0.877979, test acc: 0.935519, test avg acc: 0.799730, test iou: 0.835667
Train 74, loss: 0.875735, train acc: 0.940921, train avg acc: 0.802650, train iou: 0.838523
Test 74, loss: 0.885588, test acc: 0.930692, test avg acc: 0.819825, test iou: 0.831164
Train 75, loss: 0.872938, train acc: 0.942075, train avg acc: 0.812602, train iou: 0.840286
Test 75, loss: 0.878707, test acc: 0.933731, test avg acc: 0.823777, test iou: 0.835392
Train 76, loss: 0.870928, train acc: 0.942238, train avg acc: 0.808087, train iou: 0.840100
Test 76, loss: 0.882023, test acc: 0.932985, test avg acc: 0.836848, test iou: 0.830711
Train 77, loss: 0.871702, train acc: 0.942470, train avg acc: 0.810604, train iou: 0.841584
