Namespace(exp_name='new_lrgm', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=8, epochs=250, use_sgd=True, lr=0.0001, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Train 43, loss: 0.902099, train acc: 0.958638, train avg acc: 0.936668
Test 43, loss: 0.945098, test acc: 0.921799, test avg acc: 0.892622
Train 44, loss: 0.904128, train acc: 0.957724, train avg acc: 0.933944
Test 44, loss: 0.945233, test acc: 0.919368, test avg acc: 0.887041
Train 45, loss: 0.901059, train acc: 0.958130, train avg acc: 0.940236
Test 45, loss: 0.942122, test acc: 0.921394, test avg acc: 0.887291
Train 46, loss: 0.893838, train acc: 0.960467, train avg acc: 0.940091
Test 46, loss: 0.943158, test acc: 0.923420, test avg acc: 0.890785
Train 47, loss: 0.893771, train acc: 0.960467, train avg acc: 0.938007
Test 47, loss: 0.950899, test acc: 0.920178, test avg acc: 0.891500
Train 48, loss: 0.894810, train acc: 0.961382, train avg acc: 0.942452
Test 48, loss: 0.959366, test acc: 0.912885, test avg acc: 0.882122
Train 49, loss: 0.892699, train acc: 0.957927, train avg acc: 0.937822
Test 49, loss: 0.951169, test acc: 0.916532, test avg acc: 0.888413
Train 50, loss: 0.895932, train acc: 0.959451, train avg acc: 0.940229
Test 50, loss: 0.948333, test acc: 0.919773, test avg acc: 0.890250
Train 51, loss: 0.890463, train acc: 0.963516, train avg acc: 0.944450
Test 51, loss: 0.950592, test acc: 0.918558, test avg acc: 0.895459
Train 52, loss: 0.888024, train acc: 0.963415, train avg acc: 0.944113
Test 52, loss: 0.948118, test acc: 0.920989, test avg acc: 0.888041
Train 53, loss: 0.890451, train acc: 0.963110, train avg acc: 0.945907
Test 53, loss: 0.945055, test acc: 0.918963, test avg acc: 0.888669
Train 54, loss: 0.889879, train acc: 0.960264, train avg acc: 0.940437
Test 54, loss: 0.949390, test acc: 0.913290, test avg acc: 0.878331
Train 55, loss: 0.889711, train acc: 0.963313, train avg acc: 0.946596
Test 55, loss: 0.954866, test acc: 0.916937, test avg acc: 0.889616
Train 56, loss: 0.885412, train acc: 0.964024, train avg acc: 0.945565
Test 56, loss: 0.942232, test acc: 0.920583, test avg acc: 0.890035
Train 57, loss: 0.889657, train acc: 0.960874, train avg acc: 0.941561
Test 57, loss: 0.953873, test acc: 0.914506, test avg acc: 0.889203
