Namespace(exp_name='LIDKNN_attnpoolk_best', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=300, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Train 1, loss: 1.974882, train acc: 0.588821, train avg acc: 0.415999
Test 1, loss: 1.560947, test acc: 0.704619, test avg acc: 0.609884
Train 2, loss: 1.508397, train acc: 0.747154, train avg acc: 0.628196
Test 2, loss: 1.263224, test acc: 0.822528, test avg acc: 0.731616
Train 3, loss: 1.373708, train acc: 0.801016, train avg acc: 0.703434
Test 3, loss: 1.194139, test acc: 0.841977, test avg acc: 0.759744
Train 4, loss: 1.302100, train acc: 0.823374, train avg acc: 0.737580
Test 4, loss: 1.138119, test acc: 0.865883, test avg acc: 0.789064
Train 5, loss: 1.244329, train acc: 0.846341, train avg acc: 0.769113
Test 5, loss: 1.121990, test acc: 0.871556, test avg acc: 0.812860
Train 6, loss: 1.203568, train acc: 0.858943, train avg acc: 0.786709
Test 6, loss: 1.096849, test acc: 0.881686, test avg acc: 0.828756
Train 7, loss: 1.175850, train acc: 0.870224, train avg acc: 0.805918
Test 7, loss: 1.084998, test acc: 0.884522, test avg acc: 0.843907
Train 8, loss: 1.155197, train acc: 0.872358, train avg acc: 0.809269
Test 8, loss: 1.069474, test acc: 0.891410, test avg acc: 0.840343
Train 9, loss: 1.134096, train acc: 0.883333, train avg acc: 0.822471
Test 9, loss: 1.063305, test acc: 0.893031, test avg acc: 0.825593
Train 10, loss: 1.115471, train acc: 0.889939, train avg acc: 0.838225
Test 10, loss: 1.052524, test acc: 0.897893, test avg acc: 0.828517
Train 11, loss: 1.099325, train acc: 0.892988, train avg acc: 0.839181
Test 11, loss: 1.039920, test acc: 0.898703, test avg acc: 0.844453
Train 12, loss: 1.093147, train acc: 0.895224, train avg acc: 0.841020
Test 12, loss: 1.040294, test acc: 0.891815, test avg acc: 0.845680
Train 13, loss: 1.075237, train acc: 0.900915, train avg acc: 0.852572
Test 13, loss: 1.030496, test acc: 0.895462, test avg acc: 0.842512
Train 14, loss: 1.071490, train acc: 0.902337, train avg acc: 0.853090
Test 14, loss: 1.022066, test acc: 0.901945, test avg acc: 0.855826
Train 15, loss: 1.055460, train acc: 0.907520, train avg acc: 0.858953
Test 15, loss: 1.012059, test acc: 0.905186, test avg acc: 0.853023
Train 16, loss: 1.051801, train acc: 0.906707, train avg acc: 0.859237
Test 16, loss: 1.027929, test acc: 0.898703, test avg acc: 0.858424
Train 17, loss: 1.040598, train acc: 0.913923, train avg acc: 0.870451
Test 17, loss: 1.013436, test acc: 0.897893, test avg acc: 0.868558
Train 18, loss: 1.034972, train acc: 0.917480, train avg acc: 0.875781
Test 18, loss: 1.023413, test acc: 0.894652, test avg acc: 0.861709
Train 19, loss: 1.026296, train acc: 0.919512, train avg acc: 0.878316
Test 19, loss: 0.987853, test acc: 0.903160, test avg acc: 0.856262
Train 20, loss: 1.016071, train acc: 0.917988, train avg acc: 0.878206
Test 20, loss: 1.004022, test acc: 0.899109, test avg acc: 0.859343
Train 21, loss: 0.988511, train acc: 0.930691, train avg acc: 0.895604
Test 21, loss: 0.985922, test acc: 0.905186, test avg acc: 0.882878
Train 22, loss: 0.975900, train acc: 0.934654, train avg acc: 0.900792
Test 22, loss: 0.973625, test acc: 0.911669, test avg acc: 0.880465
Train 23, loss: 0.970045, train acc: 0.936585, train avg acc: 0.904081
Test 23, loss: 0.979459, test acc: 0.911669, test avg acc: 0.880035
Train 24, loss: 0.963665, train acc: 0.939126, train avg acc: 0.908401
Test 24, loss: 0.971964, test acc: 0.913695, test avg acc: 0.882959
Train 25, loss: 0.958751, train acc: 0.937907, train avg acc: 0.907474
Test 25, loss: 0.965639, test acc: 0.912075, test avg acc: 0.866953
Train 26, loss: 0.957163, train acc: 0.938618, train avg acc: 0.909140
Test 26, loss: 0.972250, test acc: 0.912885, test avg acc: 0.881337
Train 27, loss: 0.953783, train acc: 0.941159, train avg acc: 0.913264
Test 27, loss: 0.982619, test acc: 0.908023, test avg acc: 0.873669
Train 28, loss: 0.943984, train acc: 0.945122, train avg acc: 0.915690
Test 28, loss: 0.961316, test acc: 0.918152, test avg acc: 0.881744
Train 29, loss: 0.946673, train acc: 0.943801, train avg acc: 0.916129
Test 29, loss: 0.966846, test acc: 0.909643, test avg acc: 0.879000
Train 30, loss: 0.947633, train acc: 0.942886, train avg acc: 0.916203
Test 30, loss: 0.976605, test acc: 0.914100, test avg acc: 0.880994
Train 31, loss: 0.938585, train acc: 0.945528, train avg acc: 0.918671
Test 31, loss: 0.983097, test acc: 0.907212, test avg acc: 0.883163
Train 32, loss: 0.939573, train acc: 0.945325, train avg acc: 0.918118
Test 32, loss: 0.959235, test acc: 0.914911, test avg acc: 0.879913
Train 33, loss: 0.932418, train acc: 0.948476, train avg acc: 0.924220
Test 33, loss: 0.952579, test acc: 0.920583, test avg acc: 0.886831
Train 34, loss: 0.936052, train acc: 0.946443, train avg acc: 0.919392
Test 34, loss: 0.966820, test acc: 0.912075, test avg acc: 0.891535
Train 35, loss: 0.927706, train acc: 0.949797, train avg acc: 0.923182
Test 35, loss: 0.958667, test acc: 0.915316, test avg acc: 0.880500
Train 36, loss: 0.925690, train acc: 0.949390, train avg acc: 0.923620
Test 36, loss: 0.959194, test acc: 0.911669, test avg acc: 0.873250
Train 37, loss: 0.927002, train acc: 0.948882, train avg acc: 0.922978
Test 37, loss: 0.969099, test acc: 0.910049, test avg acc: 0.890843
Train 38, loss: 0.925792, train acc: 0.949898, train avg acc: 0.923033
Test 38, loss: 0.957563, test acc: 0.915316, test avg acc: 0.888826
Train 39, loss: 0.923597, train acc: 0.951321, train avg acc: 0.928194
Test 39, loss: 0.967848, test acc: 0.909643, test avg acc: 0.879669
Train 40, loss: 0.923845, train acc: 0.950000, train avg acc: 0.926454
Test 40, loss: 0.965557, test acc: 0.907212, test avg acc: 0.873669
Train 41, loss: 0.907810, train acc: 0.954878, train avg acc: 0.931424
Test 41, loss: 0.952289, test acc: 0.914911, test avg acc: 0.877663
Train 42, loss: 0.905720, train acc: 0.957012, train avg acc: 0.937377
Test 42, loss: 0.950733, test acc: 0.914911, test avg acc: 0.882337
Train 43, loss: 0.900016, train acc: 0.959350, train avg acc: 0.937668
Test 43, loss: 0.948954, test acc: 0.916126, test avg acc: 0.886047
Train 44, loss: 0.899020, train acc: 0.959045, train avg acc: 0.937631
Test 44, loss: 0.952956, test acc: 0.911264, test avg acc: 0.879703
Train 45, loss: 0.893962, train acc: 0.961789, train avg acc: 0.942032
Test 45, loss: 0.947959, test acc: 0.918558, test avg acc: 0.887709
Train 46, loss: 0.895639, train acc: 0.961789, train avg acc: 0.945016
Test 46, loss: 0.956470, test acc: 0.912885, test avg acc: 0.882581
Train 47, loss: 0.888712, train acc: 0.961585, train avg acc: 0.940855
Test 47, loss: 0.948948, test acc: 0.918152, test avg acc: 0.886413
Train 48, loss: 0.889333, train acc: 0.962703, train avg acc: 0.943768
Test 48, loss: 0.946512, test acc: 0.918558, test avg acc: 0.886744
Train 49, loss: 0.890090, train acc: 0.962297, train avg acc: 0.941864
Test 49, loss: 0.949186, test acc: 0.912885, test avg acc: 0.877209
Train 50, loss: 0.885962, train acc: 0.965041, train avg acc: 0.947956
Test 50, loss: 0.954292, test acc: 0.908428, test avg acc: 0.882500
Train 51, loss: 0.887614, train acc: 0.959654, train avg acc: 0.941955
Test 51, loss: 0.944124, test acc: 0.917747, test avg acc: 0.890535
Train 52, loss: 0.884532, train acc: 0.966159, train avg acc: 0.949947
Test 52, loss: 0.957119, test acc: 0.914100, test avg acc: 0.882081
Train 53, loss: 0.887688, train acc: 0.963313, train avg acc: 0.943006
Test 53, loss: 0.952871, test acc: 0.914911, test avg acc: 0.880866
Train 54, loss: 0.884713, train acc: 0.963618, train avg acc: 0.945093
Test 54, loss: 0.953035, test acc: 0.912885, test avg acc: 0.884087
Train 55, loss: 0.880095, train acc: 0.966159, train avg acc: 0.949620
Test 55, loss: 0.951311, test acc: 0.914911, test avg acc: 0.887419
Train 56, loss: 0.884193, train acc: 0.964228, train avg acc: 0.947191
Test 56, loss: 0.948631, test acc: 0.916126, test avg acc: 0.893372
Train 57, loss: 0.880470, train acc: 0.965752, train avg acc: 0.948209
Test 57, loss: 0.950865, test acc: 0.909643, test avg acc: 0.874035
Train 58, loss: 0.880868, train acc: 0.965346, train avg acc: 0.948255
Test 58, loss: 0.954862, test acc: 0.917342, test avg acc: 0.882122
Train 59, loss: 0.874562, train acc: 0.970122, train avg acc: 0.955596
Test 59, loss: 0.950681, test acc: 0.914911, test avg acc: 0.890169
Train 60, loss: 0.877782, train acc: 0.964431, train avg acc: 0.946908
Test 60, loss: 0.950056, test acc: 0.917747, test avg acc: 0.886122
Train 61, loss: 0.868449, train acc: 0.970020, train avg acc: 0.954197
Test 61, loss: 0.951020, test acc: 0.912075, test avg acc: 0.882791
Train 62, loss: 0.869016, train acc: 0.969309, train avg acc: 0.953869
Test 62, loss: 0.949505, test acc: 0.913290, test avg acc: 0.890500
Train 63, loss: 0.867269, train acc: 0.969715, train avg acc: 0.953619
Test 63, loss: 0.946383, test acc: 0.917747, test avg acc: 0.883413
Train 64, loss: 0.870342, train acc: 0.967683, train avg acc: 0.951325
Test 64, loss: 0.946543, test acc: 0.913290, test avg acc: 0.885209
Train 65, loss: 0.865900, train acc: 0.971341, train avg acc: 0.958272
Test 65, loss: 0.950980, test acc: 0.913290, test avg acc: 0.880913
Train 66, loss: 0.863510, train acc: 0.971240, train avg acc: 0.957012
Test 66, loss: 0.946732, test acc: 0.915316, test avg acc: 0.886669
Train 67, loss: 0.867270, train acc: 0.971443, train avg acc: 0.956969
Test 67, loss: 0.940894, test acc: 0.920583, test avg acc: 0.895163
Train 68, loss: 0.866683, train acc: 0.968801, train avg acc: 0.953195
Test 68, loss: 0.944020, test acc: 0.916937, test avg acc: 0.894663
Train 69, loss: 0.862647, train acc: 0.971850, train avg acc: 0.959325
Test 69, loss: 0.940538, test acc: 0.913695, test avg acc: 0.880541
Train 70, loss: 0.860842, train acc: 0.971850, train avg acc: 0.957034
Test 70, loss: 0.938476, test acc: 0.914100, test avg acc: 0.882913
Train 71, loss: 0.860765, train acc: 0.972154, train avg acc: 0.957578
Test 71, loss: 0.951095, test acc: 0.916126, test avg acc: 0.885331
Train 72, loss: 0.861397, train acc: 0.969512, train avg acc: 0.954707
Test 72, loss: 0.950645, test acc: 0.911669, test avg acc: 0.876663
Train 73, loss: 0.858279, train acc: 0.973069, train avg acc: 0.960446
Test 73, loss: 0.942269, test acc: 0.916532, test avg acc: 0.885500
Train 74, loss: 0.862923, train acc: 0.971443, train avg acc: 0.957162
Test 74, loss: 0.947330, test acc: 0.916126, test avg acc: 0.887372
Train 75, loss: 0.860353, train acc: 0.972764, train avg acc: 0.959568
Test 75, loss: 0.940852, test acc: 0.918152, test avg acc: 0.893622
Train 76, loss: 0.860460, train acc: 0.973171, train avg acc: 0.959287
Test 76, loss: 0.936579, test acc: 0.920989, test avg acc: 0.889413
Train 77, loss: 0.855598, train acc: 0.975407, train avg acc: 0.962624
Test 77, loss: 0.942712, test acc: 0.915316, test avg acc: 0.889709
Train 78, loss: 0.855331, train acc: 0.973171, train avg acc: 0.959333
Test 78, loss: 0.944949, test acc: 0.916532, test avg acc: 0.884081
Train 79, loss: 0.862996, train acc: 0.969207, train avg acc: 0.953014
Test 79, loss: 0.942320, test acc: 0.919773, test avg acc: 0.888919
Train 80, loss: 0.857866, train acc: 0.972866, train avg acc: 0.960786
Test 80, loss: 0.943289, test acc: 0.915316, test avg acc: 0.887541
Train 81, loss: 0.853425, train acc: 0.974797, train avg acc: 0.963123
Test 81, loss: 0.942684, test acc: 0.915316, test avg acc: 0.890953
Train 82, loss: 0.858030, train acc: 0.972764, train avg acc: 0.961020
Test 82, loss: 0.937570, test acc: 0.920989, test avg acc: 0.891413
Train 83, loss: 0.851183, train acc: 0.974695, train avg acc: 0.962669
Test 83, loss: 0.940774, test acc: 0.917342, test avg acc: 0.890000
Train 84, loss: 0.853616, train acc: 0.974289, train avg acc: 0.960427
Test 84, loss: 0.940561, test acc: 0.918558, test avg acc: 0.891913
Train 85, loss: 0.853698, train acc: 0.973882, train avg acc: 0.960185
Test 85, loss: 0.943143, test acc: 0.912885, test avg acc: 0.890372
Train 86, loss: 0.851756, train acc: 0.974898, train avg acc: 0.964043
Test 86, loss: 0.940827, test acc: 0.918558, test avg acc: 0.894872
Train 87, loss: 0.852832, train acc: 0.974593, train avg acc: 0.962330
Test 87, loss: 0.939772, test acc: 0.918152, test avg acc: 0.889453
Train 88, loss: 0.853415, train acc: 0.974085, train avg acc: 0.960045
Test 88, loss: 0.941201, test acc: 0.916532, test avg acc: 0.890291
Train 89, loss: 0.850166, train acc: 0.975305, train avg acc: 0.962607
Test 89, loss: 0.936563, test acc: 0.919368, test avg acc: 0.898128
Train 90, loss: 0.851288, train acc: 0.976220, train avg acc: 0.962741
Test 90, loss: 0.949914, test acc: 0.912480, test avg acc: 0.885000
Train 91, loss: 0.848078, train acc: 0.975407, train avg acc: 0.963344
Test 91, loss: 0.944483, test acc: 0.916126, test avg acc: 0.884209
Train 92, loss: 0.848554, train acc: 0.975102, train avg acc: 0.963757
Test 92, loss: 0.945756, test acc: 0.913695, test avg acc: 0.885709
Train 93, loss: 0.843923, train acc: 0.979573, train avg acc: 0.969278
Test 93, loss: 0.946295, test acc: 0.918963, test avg acc: 0.892081
Train 94, loss: 0.848464, train acc: 0.976118, train avg acc: 0.963462
Test 94, loss: 0.943842, test acc: 0.914911, test avg acc: 0.884581
Train 95, loss: 0.845543, train acc: 0.976524, train avg acc: 0.964365
Test 95, loss: 0.941459, test acc: 0.918152, test avg acc: 0.896419
Train 96, loss: 0.846113, train acc: 0.976118, train avg acc: 0.964642
Test 96, loss: 0.939442, test acc: 0.913290, test avg acc: 0.883581
Train 97, loss: 0.849107, train acc: 0.975915, train avg acc: 0.964734
Test 97, loss: 0.936396, test acc: 0.916937, test avg acc: 0.888628
Train 98, loss: 0.848234, train acc: 0.976220, train avg acc: 0.961442
Test 98, loss: 0.938549, test acc: 0.915316, test avg acc: 0.887831
Train 99, loss: 0.844300, train acc: 0.978455, train avg acc: 0.970019
Test 99, loss: 0.940872, test acc: 0.917747, test avg acc: 0.886413
Train 100, loss: 0.847770, train acc: 0.975102, train avg acc: 0.962146
Test 100, loss: 0.941579, test acc: 0.916532, test avg acc: 0.893459
Train 101, loss: 0.848447, train acc: 0.976220, train avg acc: 0.963352
Test 101, loss: 0.941846, test acc: 0.916532, test avg acc: 0.892331
Train 102, loss: 0.841008, train acc: 0.979573, train avg acc: 0.968165
Test 102, loss: 0.942026, test acc: 0.917747, test avg acc: 0.887128
Train 103, loss: 0.845220, train acc: 0.976118, train avg acc: 0.963411
Test 103, loss: 0.941460, test acc: 0.912480, test avg acc: 0.881878
Train 104, loss: 0.846257, train acc: 0.977439, train avg acc: 0.964958
Test 104, loss: 0.939978, test acc: 0.914911, test avg acc: 0.884541
Train 105, loss: 0.843573, train acc: 0.976524, train avg acc: 0.965980
Test 105, loss: 0.940917, test acc: 0.918558, test avg acc: 0.889791
Train 106, loss: 0.847701, train acc: 0.975305, train avg acc: 0.963897
Test 106, loss: 0.939234, test acc: 0.916937, test avg acc: 0.890750
Train 107, loss: 0.841834, train acc: 0.976423, train avg acc: 0.964070
Test 107, loss: 0.932157, test acc: 0.918558, test avg acc: 0.885953
Train 108, loss: 0.844540, train acc: 0.976524, train avg acc: 0.964541
Test 108, loss: 0.938809, test acc: 0.916937, test avg acc: 0.889628
