Namespace(exp_name='part_seg_globalts', model='GTNet', dataset='shapenetpart', class_choice=None, batch_size=13, test_batch_size=13, epochs=300, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=100, eval=False, num_points=2048, dropout=0.5, emb_dims=512, k=20, ptv3_patch=256, ptv3_heads=4, ptv3_morton_bits=10, no_ptv3_shift=False, model_path='', visu='all', visu_format='ply')
Using GPU : 0 from 1 devices
Train 33, loss: 0.895780, train acc: 0.934114, train avg acc: 0.770461, train iou: 0.822790
Test 33, loss: 0.913482, test acc: 0.921357, test avg acc: 0.782397, test iou: 0.804418
Train 34, loss: 0.894733, train acc: 0.934838, train avg acc: 0.768172, train iou: 0.822368
Test 34, loss: 0.890181, test acc: 0.931368, test avg acc: 0.784663, test iou: 0.821497
Train 35, loss: 0.895424, train acc: 0.934494, train avg acc: 0.769083, train iou: 0.822749
Test 35, loss: 0.891617, test acc: 0.930100, test avg acc: 0.799624, test iou: 0.821761
Train 36, loss: 0.895147, train acc: 0.934091, train avg acc: 0.770431, train iou: 0.823428
Test 36, loss: 0.889649, test acc: 0.931610, test avg acc: 0.781174, test iou: 0.826031
Train 37, loss: 0.896314, train acc: 0.934638, train avg acc: 0.772244, train iou: 0.823204
Test 37, loss: 0.894839, test acc: 0.928831, test avg acc: 0.757858, test iou: 0.815366
Train 38, loss: 0.891802, train acc: 0.935704, train avg acc: 0.773610, train iou: 0.825798
Test 38, loss: 0.905087, test acc: 0.927795, test avg acc: 0.757613, test iou: 0.813658
Train 39, loss: 0.892214, train acc: 0.935585, train avg acc: 0.775406, train iou: 0.826177
Test 39, loss: 0.908811, test acc: 0.920843, test avg acc: 0.773713, test iou: 0.812422
Train 40, loss: 0.895553, train acc: 0.934599, train avg acc: 0.772718, train iou: 0.822714
Test 40, loss: 0.894348, test acc: 0.930337, test avg acc: 0.780111, test iou: 0.821639
Train 41, loss: 0.890083, train acc: 0.936115, train avg acc: 0.776168, train iou: 0.826095
Test 41, loss: 0.893207, test acc: 0.928272, test avg acc: 0.787413, test iou: 0.819028
Train 42, loss: 0.894145, train acc: 0.934734, train avg acc: 0.773078, train iou: 0.823672
Test 42, loss: 0.888970, test acc: 0.930139, test avg acc: 0.809991, test iou: 0.825015
Train 43, loss: 0.891371, train acc: 0.936092, train avg acc: 0.778157, train iou: 0.826724
Test 43, loss: 0.946931, test acc: 0.914804, test avg acc: 0.783085, test iou: 0.813126
Train 44, loss: 0.892210, train acc: 0.935558, train avg acc: 0.775536, train iou: 0.825131
Test 44, loss: 0.886032, test acc: 0.930109, test avg acc: 0.770122, test iou: 0.825663
Train 45, loss: 0.891266, train acc: 0.935919, train avg acc: 0.778149, train iou: 0.825744
Test 45, loss: 0.898800, test acc: 0.925799, test avg acc: 0.781511, test iou: 0.812396
Train 46, loss: 0.891400, train acc: 0.936135, train avg acc: 0.783478, train iou: 0.826402
Test 46, loss: 0.894092, test acc: 0.929231, test avg acc: 0.770822, test iou: 0.818202
Train 47, loss: 0.891061, train acc: 0.935989, train avg acc: 0.779017, train iou: 0.826263
Test 47, loss: 0.894309, test acc: 0.930044, test avg acc: 0.810365, test iou: 0.820330
Train 48, loss: 0.889960, train acc: 0.935887, train avg acc: 0.780683, train iou: 0.825181
Test 48, loss: 0.892272, test acc: 0.930313, test avg acc: 0.822355, test iou: 0.822520
Train 49, loss: 0.889136, train acc: 0.936624, train avg acc: 0.783418, train iou: 0.827812
Test 49, loss: 0.897719, test acc: 0.925569, test avg acc: 0.767093, test iou: 0.811217
Train 50, loss: 0.890018, train acc: 0.935961, train avg acc: 0.779431, train iou: 0.826820
Test 50, loss: 0.890447, test acc: 0.931382, test avg acc: 0.795259, test iou: 0.826988
Train 51, loss: 0.887613, train acc: 0.937272, train avg acc: 0.787768, train iou: 0.828199
Test 51, loss: 0.908441, test acc: 0.924182, test avg acc: 0.737985, test iou: 0.818158
Train 52, loss: 0.888387, train acc: 0.936685, train avg acc: 0.780976, train iou: 0.826619
Test 52, loss: 0.893908, test acc: 0.928914, test avg acc: 0.809980, test iou: 0.825715
Train 53, loss: 0.887906, train acc: 0.937115, train avg acc: 0.783673, train iou: 0.828296
Test 53, loss: 0.902792, test acc: 0.924281, test avg acc: 0.778379, test iou: 0.809601
Train 54, loss: 0.887509, train acc: 0.936885, train avg acc: 0.783051, train iou: 0.828216
Test 54, loss: 0.887309, test acc: 0.931431, test avg acc: 0.799844, test iou: 0.829770
Train 55, loss: 0.889696, train acc: 0.936781, train avg acc: 0.780956, train iou: 0.827936
Test 55, loss: 0.891650, test acc: 0.927240, test avg acc: 0.814596, test iou: 0.824988
