Namespace(exp_name='PRWKV-IFM_LRGM', model='GTNet', dataset='shapenetpart', class_choice=None, batch_size=16, test_batch_size=16, epochs=300, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=100, eval=False, num_points=2048, dropout=0.5, emb_dims=512, k=20, model_path='', visu='all', visu_format='ply')
Using GPU : 0 from 1 devices
Test 33, loss: 0.880768, test acc: 0.932496, test avg acc: 0.812834, test iou: 0.832486
Train 34, loss: 0.878510, train acc: 0.940076, train avg acc: 0.798379, train iou: 0.836782
Test 34, loss: 0.900402, test acc: 0.929650, test avg acc: 0.807926, test iou: 0.824471
Train 35, loss: 0.879729, train acc: 0.939429, train avg acc: 0.789939, train iou: 0.835261
Test 35, loss: 0.915240, test acc: 0.922691, test avg acc: 0.811055, test iou: 0.807579
Train 36, loss: 0.879832, train acc: 0.939374, train avg acc: 0.797049, train iou: 0.836810
Test 36, loss: 0.907468, test acc: 0.924308, test avg acc: 0.775907, test iou: 0.820565
Train 37, loss: 0.879700, train acc: 0.939552, train avg acc: 0.795144, train iou: 0.835612
Test 37, loss: 0.884302, test acc: 0.933926, test avg acc: 0.811660, test iou: 0.829871
Train 38, loss: 0.877376, train acc: 0.940386, train avg acc: 0.800356, train iou: 0.837851
Test 38, loss: 0.885000, test acc: 0.931051, test avg acc: 0.804931, test iou: 0.823050
Train 39, loss: 0.877446, train acc: 0.940224, train avg acc: 0.796696, train iou: 0.837295
Test 39, loss: 0.876624, test acc: 0.934897, test avg acc: 0.817629, test iou: 0.831375
Train 40, loss: 0.875710, train acc: 0.940962, train avg acc: 0.799567, train iou: 0.839078
Test 40, loss: 0.880458, test acc: 0.933158, test avg acc: 0.815384, test iou: 0.822625
Train 41, loss: 0.874954, train acc: 0.941341, train avg acc: 0.802727, train iou: 0.838562
Test 41, loss: 0.882465, test acc: 0.933806, test avg acc: 0.812725, test iou: 0.830641
Train 42, loss: 0.876396, train acc: 0.940555, train avg acc: 0.802200, train iou: 0.838858
Test 42, loss: 0.882508, test acc: 0.931521, test avg acc: 0.796742, test iou: 0.826668
Train 43, loss: 0.875011, train acc: 0.940731, train avg acc: 0.797789, train iou: 0.839011
Test 43, loss: 0.885228, test acc: 0.933975, test avg acc: 0.809335, test iou: 0.832961
Train 44, loss: 0.877268, train acc: 0.940096, train avg acc: 0.800367, train iou: 0.836361
Test 44, loss: 0.902175, test acc: 0.924812, test avg acc: 0.824916, test iou: 0.819803
Train 45, loss: 0.875425, train acc: 0.941406, train avg acc: 0.800145, train iou: 0.838777
Test 45, loss: 0.881041, test acc: 0.934754, test avg acc: 0.812225, test iou: 0.837289
Train 46, loss: 0.872695, train acc: 0.941664, train avg acc: 0.806347, train iou: 0.840476
Test 46, loss: 0.873235, test acc: 0.936354, test avg acc: 0.819212, test iou: 0.835777
