Namespace(exp_name='no_t-net_guonihe', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=8, epochs=250, use_sgd=True, lr=0.0001, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Train 43, loss: 0.897806, train acc: 0.959654, train avg acc: 0.939145
Test 43, loss: 0.958548, test acc: 0.912885, test avg acc: 0.883285
Train 44, loss: 0.890892, train acc: 0.963720, train avg acc: 0.944811
Test 44, loss: 0.952851, test acc: 0.917747, test avg acc: 0.891122
Train 45, loss: 0.891531, train acc: 0.964431, train avg acc: 0.948225
Test 45, loss: 0.959684, test acc: 0.916126, test avg acc: 0.887913
Train 46, loss: 0.888333, train acc: 0.961382, train avg acc: 0.942522
Test 46, loss: 0.959913, test acc: 0.912075, test avg acc: 0.883297
Train 47, loss: 0.886958, train acc: 0.964228, train avg acc: 0.943257
Test 47, loss: 0.958509, test acc: 0.915721, test avg acc: 0.889547
Train 48, loss: 0.887328, train acc: 0.965244, train avg acc: 0.948429
Test 48, loss: 0.949590, test acc: 0.919773, test avg acc: 0.892163
Train 49, loss: 0.881748, train acc: 0.965854, train avg acc: 0.948030
Test 49, loss: 0.951846, test acc: 0.922204, test avg acc: 0.894994
Train 50, loss: 0.880553, train acc: 0.966362, train avg acc: 0.949145
Test 50, loss: 0.960786, test acc: 0.914911, test avg acc: 0.886872
Train 51, loss: 0.885107, train acc: 0.964736, train avg acc: 0.946360
Test 51, loss: 0.951631, test acc: 0.918558, test avg acc: 0.884203
Train 52, loss: 0.879832, train acc: 0.968089, train avg acc: 0.952379
Test 52, loss: 0.955079, test acc: 0.912075, test avg acc: 0.881512
Train 53, loss: 0.880099, train acc: 0.967175, train avg acc: 0.951152
Test 53, loss: 0.951083, test acc: 0.919368, test avg acc: 0.892831
Train 54, loss: 0.877204, train acc: 0.969309, train avg acc: 0.955413
Test 54, loss: 0.948070, test acc: 0.919368, test avg acc: 0.886831
Train 55, loss: 0.876878, train acc: 0.969715, train avg acc: 0.955920
Test 55, loss: 0.944859, test acc: 0.918963, test avg acc: 0.888994
Train 56, loss: 0.877645, train acc: 0.967073, train avg acc: 0.949487
Test 56, loss: 0.952880, test acc: 0.918152, test avg acc: 0.890372
Train 57, loss: 0.875733, train acc: 0.968801, train avg acc: 0.952830
Test 57, loss: 0.952747, test acc: 0.916937, test avg acc: 0.888291
Train 58, loss: 0.874446, train acc: 0.967683, train avg acc: 0.952657
Test 58, loss: 0.949796, test acc: 0.915721, test avg acc: 0.885791
Train 59, loss: 0.874712, train acc: 0.969512, train avg acc: 0.954313
Test 59, loss: 0.956092, test acc: 0.916532, test avg acc: 0.888500
Train 60, loss: 0.872474, train acc: 0.968902, train avg acc: 0.952684
Test 60, loss: 0.948899, test acc: 0.915721, test avg acc: 0.883163
Train 61, loss: 0.872195, train acc: 0.967581, train avg acc: 0.951939
Test 61, loss: 0.945212, test acc: 0.918558, test avg acc: 0.891622
Train 62, loss: 0.866453, train acc: 0.971545, train avg acc: 0.958437
Test 62, loss: 0.947091, test acc: 0.920989, test avg acc: 0.890163
Train 63, loss: 0.866040, train acc: 0.971240, train avg acc: 0.957059
Test 63, loss: 0.946706, test acc: 0.920583, test avg acc: 0.895081
Train 64, loss: 0.866997, train acc: 0.970732, train avg acc: 0.955957
Test 64, loss: 0.950309, test acc: 0.914506, test avg acc: 0.885209
Train 65, loss: 0.864447, train acc: 0.970427, train avg acc: 0.956899
Test 65, loss: 0.946248, test acc: 0.918558, test avg acc: 0.889459
Train 66, loss: 0.858909, train acc: 0.975102, train avg acc: 0.961900
Test 66, loss: 0.945512, test acc: 0.918558, test avg acc: 0.888500
Train 67, loss: 0.862118, train acc: 0.973780, train avg acc: 0.961518
Test 67, loss: 0.938413, test acc: 0.924635, test avg acc: 0.885453
Train 68, loss: 0.862153, train acc: 0.971138, train avg acc: 0.958065
Test 68, loss: 0.949295, test acc: 0.916532, test avg acc: 0.889756
Train 69, loss: 0.858815, train acc: 0.974289, train avg acc: 0.962480
