Namespace(exp_name='LPR++', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=300, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Train 43, loss: 0.929324, train acc: 0.948171, train avg acc: 0.921886
Test 43, loss: 0.958456, test acc: 0.924230, test avg acc: 0.888372
Train 44, loss: 0.928664, train acc: 0.949289, train avg acc: 0.922626
Test 44, loss: 0.954371, test acc: 0.917747, test avg acc: 0.882628
Train 45, loss: 0.929587, train acc: 0.947358, train avg acc: 0.922160
Test 45, loss: 0.953901, test acc: 0.917747, test avg acc: 0.884209
Train 46, loss: 0.925211, train acc: 0.951220, train avg acc: 0.928688
Test 46, loss: 0.949623, test acc: 0.919773, test avg acc: 0.885291
Train 47, loss: 0.922838, train acc: 0.951016, train avg acc: 0.926608
Test 47, loss: 0.946858, test acc: 0.919368, test avg acc: 0.881203
Train 48, loss: 0.922287, train acc: 0.952846, train avg acc: 0.929569
Test 48, loss: 0.952998, test acc: 0.921394, test avg acc: 0.889000
Train 49, loss: 0.924159, train acc: 0.948679, train avg acc: 0.924455
Test 49, loss: 0.947609, test acc: 0.920989, test avg acc: 0.887372
Train 50, loss: 0.925805, train acc: 0.949187, train avg acc: 0.923824
Test 50, loss: 0.953392, test acc: 0.917747, test avg acc: 0.883081
Train 51, loss: 0.914933, train acc: 0.953760, train avg acc: 0.931279
Test 51, loss: 0.947363, test acc: 0.922204, test avg acc: 0.890041
Train 52, loss: 0.917872, train acc: 0.952541, train avg acc: 0.929960
Test 52, loss: 0.951459, test acc: 0.921394, test avg acc: 0.884459
Train 53, loss: 0.920608, train acc: 0.955081, train avg acc: 0.933667
Test 53, loss: 0.947077, test acc: 0.919368, test avg acc: 0.886122
Train 54, loss: 0.917541, train acc: 0.953659, train avg acc: 0.930592
